Intropic_topleft,Intropic_bottomleft,Intropic_topright,Intropic_bottomright,Step1_topleft,Step1_bottomleft,Step1_topright,Step1_bottomright,Step2_topleft,Step2_bottomleft,Step2_topright,Step2_bottomright,Step3_topleft,Step3_bottomleft,Step3_topright,Step3_bottomright,Step4_topleft,Step4_bottomleft,Step4_bottomleft,Step4_bottomright,Step5_topleft,Step5_bottomleft,Step5_topright,Step5_bottomright,Step6_topleft,Step6_bottomleft,Step6_topright,Step6_bottomright,Step1_audio,Step2_audio,Step3_audio,Step4_audio,Step5_audio,Step6_audio,Test_sentence,ItemNumber,Group,Subgroup
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3cherries.png,Ben_3cherries.png,Cindy.png,Dave.png,Anna_3cherries.png,Ben_3cherries.png,Cindy_3chestnuts.png,Dave_3chestnuts.png,Anna_3cherries.png,Ben.png,Cindy_3chestnuts.png,Dave_3chestnuts.png,Anna_1cherry.png,Ben.png,Cindy_3chestnuts.png,Dave_3chestnuts.png,Anna_1cherry.png,Ben.png,Cindy.png,Dave_3chestnuts.png,Anna_1cherry.png,Ben.png,Cindy.png,Dave_1chestnut.png,A1_S1.mp3,A1_S2.mp3,A1_S3.mp3,A1_S4.mp3,A1_S5.mp3,A1_S6.mp3,some_cherries.mp3,1,A,1
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3cherries.png,Ben_3cherries.png,Cindy.png,Dave.png,Anna_3cherries.png,Ben_3cherries.png,Cindy_3chestnuts.png,Dave_3chestnuts.png,Anna_3cherries.png,Ben.png,Cindy_3chestnuts.png,Dave_3chestnuts.png,Anna_1cherry.png,Ben.png,Cindy_3chestnuts.png,Dave_3chestnuts.png,Anna_1cherry.png,Ben.png,Cindy.png,Dave_3chestnuts.png,Anna_1cherry.png,Ben.png,Cindy.png,Dave_1chestnut.png,A1_S1.mp3,A1_S2.mp3,A1_S3.mp3,A1_S4.mp3,A1_S5.mp3,A1_S6.mp3,two_cherries.mp3,1,A,2
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3cherries.png,Ben_3cherries.png,Cindy.png,Dave.png,Anna_3cherries.png,Ben_3cherries.png,Cindy_3chestnuts.png,Dave_3chestnuts.png,Anna.png,Ben_3cherries.png,Cindy_3chestnuts.png,Dave_3chestnuts.png,Anna.png,Ben_1cherry.png,Cindy_3chestnuts.png,Dave_3chestnuts.png,Anna.png,Ben_1cherry.png,Cindy_3chestnuts.png,Dave.png,Anna.png,Ben_1cherry.png,Cindy_1chestnut.png,Dave.png,B1_S1.mp3,B1_S2.mp3,B1_S3.mp3,B1_S4.mp3,B1_S5.mp3,B1_S6.mp3,all_cherries.mp3,1,B,1
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3cherries.png,Ben_3cherries.png,Cindy.png,Dave.png,Anna_3cherries.png,Ben_3cherries.png,Cindy_3chestnuts.png,Dave_3chestnuts.png,Anna.png,Ben_3cherries.png,Cindy_3chestnuts.png,Dave_3chestnuts.png,Anna.png,Ben_1cherry.png,Cindy_3chestnuts.png,Dave_3chestnuts.png,Anna.png,Ben_1cherry.png,Cindy_3chestnuts.png,Dave.png,Anna.png,Ben_1cherry.png,Cindy_1chestnut.png,Dave.png,B1_S1.mp3,B1_S2.mp3,B1_S3.mp3,B1_S4.mp3,B1_S5.mp3,B1_S6.mp3,three_cherries.mp3,1,B,2
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3apples.png,Ben_3apples.png,Cindy.png,Dave.png,Anna_3apples.png,Ben_3apples.png,Cindy_3apricots.png,Dave_3apricots.png,Anna.png,Ben_3apples.png,Cindy_3apricots.png,Dave_3apricots.png,Anna.png,Ben_1apple.png,Cindy_3apricots.png,Dave_3apricots.png,Anna.png,Ben_1apple.png,Cindy_3apricots.png,Dave.png,Anna.png,Ben_1apple.png,Cindy_1apricot.png,Dave.png,A2_1.mp3,A2_2.mp3,A2_3.mp3,A2_4.mp3,A2_S5.mp3,A2_S6.mp3,two_apples.mp3,2,A,1
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3apples.png,Ben_3apples.png,Cindy.png,Dave.png,Anna_3apples.png,Ben_3apples.png,Cindy_3apricots.png,Dave_3apricots.png,Anna.png,Ben_3apples.png,Cindy_3apricots.png,Dave_3apricots.png,Anna.png,Ben_1apple.png,Cindy_3apricots.png,Dave_3apricots.png,Anna.png,Ben_1apple.png,Cindy_3apricots.png,Dave.png,Anna.png,Ben_1apple.png,Cindy_1apricot.png,Dave.png,A2_1.mp3,A2_2.mp3,A2_3.mp3,A2_4.mp3,A2_S5.mp3,A2_S6.mp3,some_apples.mp3,2,A,2
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3apples.png,Ben_3apples.png,Cindy.png,Dave.png,Anna_3apples.png,Ben_3apples.png,Cindy_3apricots.png,Dave_3apricots.png,Anna_3apples.png,Ben.png,Cindy_3apricots.png,Dave_3apricots.png,Anna_1apple.png,Ben.png,Cindy_3apricots.png,Dave_3apricots.png,Anna_1apple.png,Ben.png,Cindy.png,Dave_3apricots.png,Anna_1apple.png,Ben.png,Cindy.png,Dave_1apricot.png,B2_1.mp3,B2_2.mp3,B2_3.mp3,B2_4.mp3,B2_S5.mp3,B2_S6.mp3,three_apples.mp3,2,B,1
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3apples.png,Ben_3apples.png,Cindy.png,Dave.png,Anna_3apples.png,Ben_3apples.png,Cindy_3apricots.png,Dave_3apricots.png,Anna_3apples.png,Ben.png,Cindy_3apricots.png,Dave_3apricots.png,Anna_1apple.png,Ben.png,Cindy_3apricots.png,Dave_3apricots.png,Anna_1apple.png,Ben.png,Cindy.png,Dave_3apricots.png,Anna_1apple.png,Ben.png,Cindy.png,Dave_1apricot.png,B2_1.mp3,B2_2.mp3,B2_3.mp3,B2_4.mp3,B2_S5.mp3,B2_S6.mp3,all_apples.mp3,2,B,2
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3bees.png,Ben_3bees.png,Cindy.png,Dave.png,Anna_3bees.png,Ben_3bees.png,Cindy_3beetles.png,Dave_3beetles.png,Anna.png,Ben_3bees.png,Cindy_3beetles.png,Dave_3beetles.png,Anna.png,Ben_1bee.png,Cindy_3beetles.png,Dave_3beetles.png,Anna.png,Ben_1bee.png,Cindy_3beetles.png,Dave.png,Anna.png,Ben_1bee.png,Cindy_1beetle.png,Dave.png,A3_1.mp3,A3_2.mp3,A3_3.mp3,A3_4.mp3,A3_S5.mp3,A3_S6.mp3,all_beetles.mp3,3,A,1
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3bees.png,Ben_3bees.png,Cindy.png,Dave.png,Anna_3bees.png,Ben_3bees.png,Cindy_3beetles.png,Dave_3beetles.png,Anna.png,Ben_3bees.png,Cindy_3beetles.png,Dave_3beetles.png,Anna.png,Ben_1bee.png,Cindy_3beetles.png,Dave_3beetles.png,Anna.png,Ben_1bee.png,Cindy_3beetles.png,Dave.png,Anna.png,Ben_1bee.png,Cindy_1beetle.png,Dave.png,A3_1.mp3,A3_2.mp3,A3_3.mp3,A3_4.mp3,A3_S5.mp3,A3_S6.mp3,three_beetles.mp3,3,A,2
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3bees.png,Ben_3bees.png,Cindy.png,Dave.png,Anna_3bees.png,Ben_3bees.png,Cindy_3beetles.png,Dave_3beetles.png,Anna_3bees.png,Ben.png,Cindy_3beetles.png,Dave_3beetles.png,Anna_1beetle.png,Ben.png,Cindy_3beetles.png,Dave_3beetles.png,Anna_1beetle.png,Ben.png,Cindy.png,Dave_3beetles.png,Anna_1beetle.png,Ben.png,Cindy.png,Dave_1beetle.png,B3_1.mp3,B3_2.mp3,B3_3.mp3,B3_4.mp3,B3_S5.mp3,B3_S6.mp3,some_beetles.mp3,3,B,1
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3bees.png,Ben_3bees.png,Cindy.png,Dave.png,Anna_3bees.png,Ben_3bees.png,Cindy_3beetles.png,Dave_3beetles.png,Anna_3bees.png,Ben.png,Cindy_3beetles.png,Dave_3beetles.png,Anna_1beetle.png,Ben.png,Cindy_3beetles.png,Dave_3beetles.png,Anna_1beetle.png,Ben.png,Cindy.png,Dave_3beetles.png,Anna_1beetle.png,Ben.png,Cindy.png,Dave_1beetle.png,B3_1.mp3,B3_2.mp3,B3_3.mp3,B3_4.mp3,B3_S5.mp3,B3_S6.mp3,two_beetles.mp3,3,B,2
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3eggplants.png,Ben_3eggplants.png,Cindy.png,Dave.png,Anna_3eggplants.png,Ben_3eggplants.png,Cindy_3eggs.png,Dave_3eggs.png,Anna_3eggplants.png,Ben.png,Cindy_3eggs.png,Dave_3eggs.png,Anna_1eggplant.png,Ben.png,Cindy_3eggs.png,Dave_3eggs.png,Anna_1eggplant.png,Ben.png,Cindy.png,Dave_3eggs.png,Anna_1eggplant.png,Ben.png,Cindy.png,Dave_1egg.png,A4_1.mp3,A4_2.mp3,A4_3.mp3,A4_4.mp3,A4_S5.mp3,A4_S6.mp3,three_eggs.mp3,4,A,1
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3eggplants.png,Ben_3eggplants.png,Cindy.png,Dave.png,Anna_3eggplants.png,Ben_3eggplants.png,Cindy_3eggs.png,Dave_3eggs.png,Anna_3eggplants.png,Ben.png,Cindy_3eggs.png,Dave_3eggs.png,Anna_1eggplant.png,Ben.png,Cindy_3eggs.png,Dave_3eggs.png,Anna_1eggplant.png,Ben.png,Cindy.png,Dave_3eggs.png,Anna_1eggplant.png,Ben.png,Cindy.png,Dave_1egg.png,A4_1.mp3,A4_2.mp3,A4_3.mp3,A4_4.mp3,A4_S5.mp3,A4_S6.mp3,all_eggs.mp3,4,A,2
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3eggplants.png,Ben_3eggplants.png,Cindy.png,Dave.png,Anna_3eggplants.png,Ben_3eggplants.png,Cindy_3eggs.png,Dave_3eggs.png,Anna.png,Ben_3eggplants.png,Cindy_3eggs.png,Dave_3eggs.png,Anna.png,Ben_1eggplant.png,Cindy_3eggs.png,Dave_3eggs.png,Anna.png,Ben_1eggplant.png,Cindy_3eggs.png,Dave.png,Anna.png,Ben_1eggplant.png,Cindy_1egg.png,Dave.png,B4_1.mp3,B4_2.mp3,B4_3.mp3,B4_4.mp3,B4_S5.mp3,B4_S6.mp3,two_eggs.mp3,4,B,1
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3eggplants.png,Ben_3eggplants.png,Cindy.png,Dave.png,Anna_3eggplants.png,Ben_3eggplants.png,Cindy_3eggs.png,Dave_3eggs.png,Anna.png,Ben_3eggplants.png,Cindy_3eggs.png,Dave_3eggs.png,Anna.png,Ben_1eggplant.png,Cindy_3eggs.png,Dave_3eggs.png,Anna.png,Ben_1eggplant.png,Cindy_3eggs.png,Dave.png,Anna.png,Ben_1eggplant.png,Cindy_1egg.png,Dave.png,B4_1.mp3,B4_2.mp3,B4_3.mp3,B4_4.mp3,B4_S5.mp3,B4_S6.mp3,some_eggs.mp3,4,B,2
